# Signal
# -------------------------------------------------------------------------------------
#305367,   952050.0000000,    20000, 2.5725e-03, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp015_mD10_gSp3_gD1
#305368,   743540.0000000,    20000, 3.2777e-03, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp025_mD10_gSp3_gD1
#305369,   570070.0000000,    18000, 4.3075e-03, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp035_mD10_gSp3_gD1
#305370,   440850.0000000,    20000, 5.5524e-03, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp045_mD10_gSp3_gD1
#305371,   346180.0000000,    38000, 7.0253e-03, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp055_mD10_gSp3_gD1
305372,   276440.0000000,    40000, 8.7430e-03, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp065_mD10_gSp3_gD1
#305373,   224080.0000000,    38000, 1.0585e-02, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp075_mD10_gSp3_gD1

# Inclusive gamma background.
# -------------------------------------------------------------------------------------
 361039, 34988000.0000000, 19946800, 4.1028e-01, Sherpa_CT10_SinglePhotonPt35_70_CVetoBVeto
 361040, 34986000.0000000,  9979800, 4.8609e-01, Sherpa_CT10_SinglePhotonPt35_70_CFilterBVeto
 361041, 35002000.0000000,  1995800, 1.0752e-01, Sherpa_CT10_SinglePhotonPt35_70_BFilter
 361042,  3129000.0000000,  1999200, 3.9960e-01, Sherpa_CT10_SinglePhotonPt70_140_CVetoBVeto
 361043,  3132900.0000000,  1997400, 4.8199e-01, Sherpa_CT10_SinglePhotonPt70_140_CFilterBVeto
 361044,  3135200.0000000,   499400, 1.1728e-01, Sherpa_CT10_SinglePhotonPt70_140_BFilter
 361045,   247410.0000000,  9966800, 4.1049e-01, Sherpa_CT10_SinglePhotonPt140_280_CVetoBVeto
 361046,   247390.0000000,  1993200, 5.0284e-01, Sherpa_CT10_SinglePhotonPt140_280_CFilterBVeto
 361047,   249370.0000000,   997600, 1.2874e-01, Sherpa_CT10_SinglePhotonPt140_280_BFilter
 361048,    13648.0000000,   997200, 4.1834e-01, Sherpa_CT10_SinglePhotonPt280_500_CVetoBVeto
 361049,    13617.0000000,   500000, 4.7349e-01, Sherpa_CT10_SinglePhotonPt280_500_CFilterBVeto
 361050,    13874.0000000,    99800, 1.4069e-01, Sherpa_CT10_SinglePhotonPt280_500_BFilter
 361051,      923.3400000,   200000, 3.8226e-01, Sherpa_CT10_SinglePhotonPt500_1000_CVetoBVeto
 361052,      921.8500000,   100000, 4.7148e-01, Sherpa_CT10_SinglePhotonPt500_1000_CFilterBVeto
 361053,      938.1900000,    20000, 1.4811e-01, Sherpa_CT10_SinglePhotonPt500_1000_BFilter
 361054,       18.4320000,   100000, 3.7036e-01, Sherpa_CT10_SinglePhotonPt1000_2000_CVetoBVeto
 361055,       18.3880000,    50000, 4.6691e-01, Sherpa_CT10_SinglePhotonPt1000_2000_CFilterBVeto
 361056,       19.0460000,    10000, 1.5751e-01, Sherpa_CT10_SinglePhotonPt1000_2000_BFilter
 361057,        0.0796820,   101000, 3.6729e-01, Sherpa_CT10_SinglePhotonPt2000_4000_CVetoBVeto
 361058,        0.0803310,    50500, 4.6642e-01, Sherpa_CT10_SinglePhotonPt2000_4000_CFilterBVeto
 361059,        0.0820350,    10000, 1.6920e-01, Sherpa_CT10_SinglePhotonPt2000_4000_BFilter
 361060,        0.0000025,     1000, 4.0351e-01, Sherpa_CT10_SinglePhotonPt4000_CVetoBVeto
 361061,        0.0000025,      800, 4.1614e-01, Sherpa_CT10_SinglePhotonPt4000_CFilterBVeto
 361062,        0.0000025,     1000, 1.4831e-01, Sherpa_CT10_SinglePhotonPt4000_BFilter

# Gamma plus V background.
# -------------------------------------------------------------------------------------
305435,      1660.6000000,   196000, 1.0000e+00, Sherpa_CT10_WqqGammaPt140_280
305436,       243.1100000,    96000, 1.0000e+00, Sherpa_CT10_WqqGammaPt280_500
305437,        37.8970000,    97000, 1.0000e+00, Sherpa_CT10_WqqGammaPt500_1000
305438,         1.8156000,    76000, 1.0000e+00, Sherpa_CT10_WqqGammaPt1000_2000
305439,         0.0169680,    10000, 1.0000e+00, Sherpa_CT10_WqqGammaPt2000_inf
305440,       657.5700000,   198000, 1.0000e+00, Sherpa_CT10_ZqqGammaPt140_280
305441,        77.0200000,    98000, 1.0000e+00, Sherpa_CT10_ZqqGammaPt280_500
305442,        10.4380000,    97000, 1.0000e+00, Sherpa_CT10_ZqqGammaPt500_1000
305443,         0.4626600,    79000, 1.0000e+00, Sherpa_CT10_ZqqGammaPt1000_2000
305444,         0.0042910,    10000, 1.0000e+00, Sherpa_CT10_ZqqGammaPt2000_inf

# Data.
# -------------------------------------------------------------------------------------
#RunNumber, Lumi [pb-1], "Data"
276262, 6.166897, Data
276329, 11.7065, Data
276336, 0.673924, Data
276416, 4.21279, Data
276511, 8.76604, Data
276689, 10.656495, Data
276778, 0.657529, Data
276790, 1.59535, Data
276952, 6.47731, Data
276954, 0.73329, Data
278880, 21.41921, Data
278912, 19.633223, Data
278968, 9.883003, Data
279169, 55.00551, Data
279259, 7.31293, Data
279279, 16.897099, Data
279284, 31.8164, Data
279345, 52.683661, Data
279515, 0.347662, Data
279598, 67.85899, Data
279685, 74.470953, Data
279813, 47.616706, Data
279867, 29.5636, Data
279928, 1.09603, Data
279932, 44.64153, Data
279984, 65.27506, Data
280231, 88.284052, Data
280273, 1.62778, Data
280319, 93.6371, Data
280368, 8.227303, Data
280423, 68.57333, Data
280464, 58.3428, Data
280500, 7.27397, Data
280520, 12.1184834, Data
280614, 24.23566, Data
280673, 149.0631, Data
280753, 45.214597, Data
280853, 7.21388, Data
280862, 131.153913, Data
280950, 125.7495856, Data
280977, 34.93267, Data
281070, 12.79458, Data
281074, 46.66011, Data
281075, 1.07213, Data
281317, 24.36288, Data
281385, 93.257128, Data
281411, 146.7415266, Data
282625, 10.6752, Data
282631, 26.76917, Data
282712, 93.93239, Data
282784, 2.88326, Data
282992, 106.77136, Data
283074, 55.80083, Data
283155, 28.7327, Data
283270, 13.2713, Data
283429, 234.56794, Data
283608, 23.80896, Data
283780, 145.089802, Data
284006, 38.91892, Data
284154, 9.99866, Data
284213, 199.99072, Data
284285, 247.88597, Data
284420, 57.500046, Data
284427, 35.2553, Data
284484, 103.396857, Data
